"";"Rank";"Country";"GDP"
"5";1;"USA";18036648
"6";2;"China";11064665
"7";3;"Japan";4383076
"8";4;"Germany";3363447
"9";5;"UK";2861091
"10";6;"France";2418836
"11";7;"India";2088841
"12";8;"Italy";1821497
"13";9;"Brazil";1803653
"14";10;"Canada";1552808
"15";11;"North Korea";1377873
"16";12;"Australia";1339141
"17";13;"Russia";1331208
"18";14;"Spain";1192901
"19";15;"Mexico";1143793
"20";16;"Indonesia";861934
"21";17;"Netherlands";750284
"22";18;"Turkey";717880
"23";19;"Switzerland";670790
"24";20;"Saudi Arabia";646002
"25";21;"Argentina";584711
"26";22;"Sweden";495694
"27";23;"Nigeria";486793
"28";24;"Poland";477066
"29";25;"Belgium";455086
"30";26;"Iran";425326
"31";27;"Thailand";395168
"32";28;"Norway";386578
"33";29;"Austria";376950
"34";30;"United Arab Emirates";370296
"35";31;"Egypt";330779
"36";32;"South Africa";314572
"37";33;"Hong Kong SAR, China";309235
"38";34;"Denmark";301308
"39";35;"Israel";299416
"40";36;"Malaysia";296283
"41";37;"Singapore";292739
"42";38;"Philippines";292451
"43";39;"Colombia";292080
"44";40;"Ireland";283703
"45";41;"Pakistan";271050
"46";42;"Chile";240796
"47";43;"Finland";232351
"48";44;"Portugal";199113
"49";45;"Bangladesh";195079
"50";46;"Greece";194851
"51";47;"Vietnam";193599
"52";48;"Peru";189111
"53";49;"Czech Republic";185156
"54";50;"Kazakhstan";184388
"55";51;"Iraq";180069
"56";52;"Romania";177954
"57";53;"New Zealand";173754
"58";54;"Algeria";164779
"59";55;"Qatar";164641
"60";56;"Hungary";121715
"61";57;"Kuwait";114041
"62";58;"Puerto Rico";103135
"63";59;"Angola";102627
"64";60;"Morocco";100593
"65";61;"Ecuador";100177
"66";62;"Sudan";97156
"67";63;"Ukraine";90615
"68";64;"Slovakia";87264
"69";65;"Cuba";87133
"70";66;"Sri Lanka";82316
"71";67;"Oman";69831
"72";68;"Dominican Republic";68103
"73";69;"Uzbekistan";66733
"74";70;"Guatemala";63794
"75";71;"Kenya";63398
"76";72;"Myanmar";62601
"77";73;"Ethiopia";61540
"78";74;"Luxembourg";56800
"79";75;"Belarus";54609
"80";76;"Costa Rica";54137
"81";77;"Uruguay";53443
"82";78;"Azerbaijan";53047
"83";79;"Panama";52132
"84";80;"Bulgaria";50199
"85";81;"Croatia";48732
"86";82;"Lebanon";47085
"87";83;"Macao SAR, China";46178
"88";84;"Tanzania";45628
"89";85;"Tunisia";43015
"90";86;"Slovenia";42775
"91";87;"Lithuania";41400
"92";88;"Yemen";37734
"93";89;"Ghana";37543
"94";90;"Jordan";37517
"95";91;"Serbia";37160
"96";92;"Turkmenistan";35855
"97";93;"Democratic Republic of the Congo";35238
"98";94;"Bolivia";32998
"99";95;"Ivory Coast";31759
"100";96;"Bahrain";31126
"101";97;"Cameroon";28416
"102";98;"Uganda";27529
"103";99;"Paraguay";27094
"104";100;"Latvia";27003
"105";101;"El Salvador";25850
"106";102;"Trinidad and Tobago";23559
"107";103;"Estonia";22459
"108";104;"Nepal";21195
"109";105;"Zambia";21154
"110";106;"Honduras";20421
"111";107;"Cyprus";19560
"112";108;"Afghanistan";19331
"113";109;"Cambodia";18050
"114";110;"Papua New Guinea";16929
"115";111;"Iceland";16780
"116";112;"Bosnia and Herzegovina";16192
"117";113;"Mozambique";14807
"118";114;"Zimbabwe";14419
"119";115;"Botswana";14390
"120";116;"Jamaica";14262
